,code,display_name,price,high,low
0,000656.XSHE,金科股份,7.52,11.27,6.51
1,603301.XSHG,振德医疗,61.63,106.11,55.24
2,601975.XSHG,招商南油,2.35,3.38,2.17
3,600823.XSHG,世茂股份,4.65,7.4,4.23
4,002605.XSHE,姚记科技,25.65,46.0,22.16
5,688298.XSHG,东方生物,134.29,284.2,120.27
6,600748.XSHG,上实发展,4.69,7.84,4.27
7,600208.XSHG,新湖中宝,3.13,5.12,2.92
8,002382.XSHE,蓝帆医疗,22.44,38.4,19.6
9,002030.XSHE,达安基因,32.62,51.2,31.05
10,000999.XSHE,华润三九,26.3,38.91,24.43
11,600094.XSHG,大名城,3.9,8.53,3.52
12,688009.XSHG,中国通号,5.85,10.33,5.24
13,688289.XSHG,圣湘生物,108.51,154.44,94.32
14,002467.XSHE,二六三,5.87,10.17,5.4
15,002697.XSHE,红旗连锁,6.26,13.5,5.71
16,002755.XSHE,奥赛康,14.42,22.28,12.25
17,002980.XSHE,华盛昌,47.16,91.41,40.51
18,002022.XSHE,科华生物,15.71,25.99,15.08
19,600415.XSHG,小商品城,5.01,8.41,4.4
20,300070.XSHE,碧水源,7.91,11.83,6.84
21,300639.XSHE,凯普生物,35.53,60.55,33.59
22,300676.XSHE,华大基因,135.09,199.4,124.78
23,603096.XSHG,新经典,43.99,70.89,40.18
24,600195.XSHG,中牧股份,13.98,20.77,11.91
25,688513.XSHG,苑东生物,46.16,88.0,44.01
26,002216.XSHE,三全食品,26.72,40.38,23.67
27,000063.XSHE,中兴通讯,32.33,56.4,30.16
28,002916.XSHE,深南电路,115.3,198.0,99.99
29,300572.XSHE,安车检测,36.94,79.95,34.17
30,300033.XSHE,同花顺,129.17,187.99,114.07
