,code,display_name,price,high,low
0,300349.XSHE,金卡智能,11.83,18.1,10.6
1,605066.XSHG,天正电气,12.68,21.13,11.76
2,002664.XSHE,长鹰信质,13.02,23.32,11.55
3,002562.XSHE,兄弟科技,5.19,8.23,4.78
4,688513.XSHG,苑东生物,45.87,88.0,44.01
5,002398.XSHE,垒知集团,8.15,12.96,6.98
6,600503.XSHG,华丽家族,3.76,5.07,3.26
7,002980.XSHE,华盛昌,46.1,91.41,40.51
8,603018.XSHG,华设集团,11.34,15.78,9.95
9,603566.XSHG,普莱柯,20.8,32.28,19.71
10,002376.XSHE,新北洋,10.13,13.99,8.66
11,603408.XSHG,建霖家居,15.89,29.24,14.45
12,688299.XSHG,长阳科技,25.04,34.58,21.45
13,002020.XSHE,京新药业,10.71,15.58,9.17
14,002880.XSHE,卫光生物,48.14,72.18,44.11
15,002467.XSHE,二六三,5.85,10.17,5.4
16,002697.XSHE,红旗连锁,6.17,13.5,5.71
17,688788.XSHG,科思科技,115.5,249.8,107.1
18,002226.XSHE,江南化工,6.98,9.29,5.95
19,000501.XSHE,鄂武商A,11.67,27.58,10.28
20,600094.XSHG,大名城,3.98,8.53,3.52
21,603567.XSHG,珍宝岛,11.5,15.53,10.07
22,002755.XSHE,奥赛康,14.13,22.28,12.25
23,600246.XSHG,万通发展,6.75,10.43,6.1
24,002481.XSHE,双塔食品,12.3,20.12,11.8
25,000156.XSHE,华数传媒,8.69,13.08,7.84
26,600823.XSHG,世茂股份,4.54,7.4,4.23
27,600566.XSHG,济川药业,20.9,29.67,18.4
28,600155.XSHG,华创阳安,10.94,16.34,10.61
29,300088.XSHE,长信科技,8.34,14.0,7.37
30,600675.XSHG,中华企业,3.39,5.14,3.15
31,300070.XSHE,碧水源,7.99,11.83,6.84
32,000999.XSHE,华润三九,26.23,38.91,24.43
33,000656.XSHE,金科股份,7.16,11.27,6.51
34,002252.XSHE,上海莱士,7.8,11.15,7.1
35,601933.XSHG,永辉超市,7.18,11.05,6.78
36,601360.XSHG,三六零,15.64,29.39,14.91
37,601857.XSHG,中国石油,4.42,6.26,4.04
