code,display_name,price,high,low
000061.XSHE,农产品,5.9,10.0,5.2
000970.XSHE,中科三环,9.4,14.3,8.6
300206.XSHE,理邦仪器,17.4,27.9,14.0
002583.XSHE,海能达,5.5,11.4,5.0
000828.XSHE,东莞控股,9.8,16.9,8.2
002091.XSHE,江苏国泰,6.5,8.7,5.0
002419.XSHE,天虹股份,8.5,13.7,6.6
002434.XSHE,万里扬,7.7,12.3,6.9
603379.XSHG,三美股份,17.1,35.1,14.9
300755.XSHE,华致酒行,25.3,37.7,21.8
002036.XSHE,联创电子,10.1,16.5,9.1
600596.XSHG,新安股份,13.0,16.8,10.0
000681.XSHE,视觉中国,15.2,24.6,11.9
000048.XSHE,京基智农,26.5,43.8,21.1
600496.XSHG,精工钢构,5.3,7.4,4.3
300132.XSHE,青松股份,20.8,27.5,16.2
000537.XSHE,广宇发展,5.8,8.9,5.2
002635.XSHE,安洁科技,15.4,32.4,14.3
002993.XSHE,奥海科技,60.3,112.7,47.0
002424.XSHE,贵州百灵,7.7,11.8,6.7
002815.XSHE,崇达技术,12.4,24.9,11.6
688100.XSHG,威胜信息,21.9,40.1,19.1
000789.XSHE,万年青,13.8,20.7,11.2
688095.XSHG,福昕软件,228.9,373.0,212.2
002375.XSHE,亚厦股份,8.2,16.7,6.6
600171.XSHG,上海贝岭,15.7,23.4,13.4
603609.XSHG,禾丰股份,12.0,19.1,11.4
002174.XSHE,游族网络,12.1,32.2,9.5
002302.XSHE,西部建设,8.8,13.3,7.8
002803.XSHE,吉宏股份,29.6,49.3,27.6
002243.XSHE,力合科创,9.3,19.7,8.6
600604.XSHG,市北高新,6.0,15.5,5.1
600720.XSHG,祁连山,14.6,22.5,12.1
600158.XSHG,中体产业,11.9,17.7,10.1
600984.XSHG,建设机械,11.8,32.0,9.6
002440.XSHE,闰土股份,9.9,14.9,8.4
600728.XSHG,佳都科技,6.5,11.9,6.2
002048.XSHE,宁波华翔,18.3,26.8,13.7
603208.XSHG,江山欧派,110.5,158.0,86.7
605136.XSHG,丽人丽妆,29.1,55.3,23.4
000090.XSHE,天健集团,6.3,9.8,5.4
600185.XSHG,格力地产,5.7,18.1,5.1
000034.XSHE,神州数码,18.0,36.7,16.4
300226.XSHE,上海钢联,62.2,90.7,51.3
000710.XSHE,贝瑞基因,33.6,98.0,30.2
600903.XSHG,贵州燃气,10.6,17.1,8.7
601969.XSHG,海南矿业,6.2,7.8,4.6
601222.XSHG,林洋能源,6.9,9.4,5.4
600546.XSHG,山煤国际,6.1,16.7,5.7
600037.XSHG,歌华有线,8.9,16.0,7.9
300821.XSHE,东岳硅材,10.3,18.0,8.8
600682.XSHG,南京新百,9.2,17.8,8.5
601811.XSHG,新华文轩,10.1,14.9,8.1
688106.XSHG,金宏气体,25.6,59.4,23.3
600120.XSHG,浙江东方,5.6,8.7,5.2
002351.XSHE,漫步者,14.3,24.0,11.0
300815.XSHE,玉禾田,92.2,151.3,75.3
002332.XSHE,仙琚制药,12.9,18.9,10.9
600649.XSHG,城投控股,5.0,7.9,4.5
000062.XSHE,深圳华强,12.2,20.3,10.8
300348.XSHE,长亮科技,18.0,28.2,15.9
300118.XSHE,东方日升,14.5,32.0,13.0
603708.XSHG,家家悦,21.5,49.4,18.8
000088.XSHE,盐田港,5.8,10.3,5.2
600216.XSHG,浙江医药,13.9,22.3,12.4
002755.XSHE,奥赛康,14.6,22.3,12.2
601330.XSHG,绿色动力,9.7,17.7,7.6
002237.XSHE,恒邦股份,11.9,20.8,11.3
300775.XSHE,三角防务,27.7,55.9,20.6
000818.XSHE,航锦科技,20.4,36.8,17.6
601512.XSHG,中新集团,9.3,16.5,8.8
002273.XSHE,水晶光电,11.4,20.9,10.2
601827.XSHG,三峰环境,8.3,12.0,6.8
600273.XSHG,嘉化能源,9.8,13.9,7.9
002468.XSHE,申通快递,9.2,30.5,8.8
002793.XSHE,罗欣药业,9.6,18.9,9.0
300315.XSHE,掌趣科技,5.2,10.1,4.7
601609.XSHG,金田铜业,9.8,15.7,9.2
000555.XSHE,神州信息,14.7,21.2,12.6
300567.XSHE,精测电子,58.0,88.0,45.9
002436.XSHE,兴森科技,9.7,17.9,7.9
600373.XSHG,中文传媒,10.7,18.1,9.1
600812.XSHG,华北制药,8.9,20.2,8.4
603520.XSHG,司太立,60.0,98.5,52.9
000997.XSHE,新大陆,14.1,21.8,12.7
300674.XSHE,宇信科技,36.0,69.5,27.2
300761.XSHE,立华股份,37.0,78.0,29.8
002268.XSHE,卫士通,17.9,33.7,15.5
000016.XSHE,深康佳A,6.3,13.5,5.7
688298.XSHG,东方生物,126.9,284.2,120.3
603533.XSHG,掌阅科技,34.7,58.2,29.8
300376.XSHE,易事特,6.6,13.5,6.0
000156.XSHE,华数传媒,8.3,13.1,7.8
300768.XSHE,迪普科技,38.4,58.5,34.6
688001.XSHG,华兴源创,35.0,78.3,29.9
300456.XSHE,赛微电子,24.1,37.6,18.9
300271.XSHE,华宇软件,18.8,34.0,17.1
300748.XSHE,金力永磁,36.1,75.7,26.1
002320.XSHE,海峡股份,10.6,15.4,7.6
300017.XSHE,网宿科技,6.4,12.8,5.9
300058.XSHE,蓝色光标,6.4,9.9,5.5
000990.XSHE,诚志股份,12.9,23.0,10.4
603927.XSHG,中科软,38.1,108.0,32.6
600648.XSHG,外高桥,14.3,22.2,12.9
300682.XSHE,朗新科技,15.9,23.9,12.2
300737.XSHE,科顺股份,26.5,32.2,19.2
000877.XSHE,天山股份,16.6,25.3,13.1
601869.XSHG,长飞光纤,23.4,43.5,21.4
000672.XSHE,上峰水泥,21.8,32.0,16.6
600131.XSHG,国网信通,15.0,26.3,13.2
600566.XSHG,济川药业,20.2,33.3,18.4
300702.XSHE,天宇股份,94.4,129.6,75.5
600667.XSHG,太极实业,8.8,16.0,7.5
601778.XSHG,晶科科技,6.7,10.5,5.7
002110.XSHE,三钢闽光,7.7,10.6,6.1
600126.XSHG,杭钢股份,5.6,10.8,4.9
600764.XSHG,中国海防,27.1,48.0,25.2
002075.XSHE,沙钢股份,9.2,16.9,8.6
688366.XSHG,昊海生科,115.5,204.9,84.0
603983.XSHG,丸美股份,54.1,92.5,44.6
300861.XSHE,美畅股份,56.3,85.0,43.2
002127.XSHE,南极电商,9.3,24.4,8.7
002683.XSHE,宏大爆破,30.7,66.4,29.0
002465.XSHE,海格通信,10.1,16.0,8.7
002212.XSHE,天融信,19.8,32.3,18.1
600167.XSHG,联美控股,10.2,16.0,9.5
002065.XSHE,东华软件,7.5,17.6,6.9
600271.XSHG,航天信息,12.7,25.6,10.3
600529.XSHG,山东药玻,40.1,76.8,35.4
300773.XSHE,拉卡拉,30.5,49.3,27.1
002019.XSHE,亿帆医药,20.0,34.4,16.7
300070.XSHE,碧水源,7.8,11.8,6.8
002626.XSHE,金达威,40.5,64.5,29.5
600867.XSHG,通化东宝,12.3,19.1,9.9
000975.XSHE,银泰黄金,9.1,14.8,7.7
002081.XSHE,金螳螂,9.4,13.5,7.9
002399.XSHE,海普瑞,17.3,30.7,16.2
600380.XSHG,健康元,13.1,22.5,11.4
600988.XSHG,赤峰黄金,15.5,25.4,13.8
002242.XSHE,九阳股份,33.7,46.0,27.5
688029.XSHG,南微医学,195.0,283.0,162.0
603444.XSHG,吉比特,372.6,671.6,296.3
300383.XSHE,光环新网,17.4,31.5,15.8
300482.XSHE,万孚生物,81.2,111.0,64.1
300418.XSHE,昆仑万维,24.0,31.1,18.5
002152.XSHE,广电运通,11.4,16.3,8.4
002156.XSHE,通富微电,21.6,33.9,18.1
600487.XSHG,亨通光电,12.3,23.5,11.0
000723.XSHE,美锦能源,6.8,17.1,5.8
002463.XSHE,沪电股份,17.1,31.2,15.9
002439.XSHE,启明星辰,32.9,47.7,27.6
002422.XSHE,科伦药业,22.0,32.8,17.7
601162.XSHG,天风证券,5.0,10.4,4.6
688065.XSHG,凯赛生物,81.0,198.0,74.5
601872.XSHG,招商轮船,5.2,8.4,4.4
002385.XSHE,大北农,8.3,12.8,7.6
600482.XSHG,中国动力,16.9,27.5,15.6
603707.XSHG,健友股份,39.0,60.0,30.0
000987.XSHE,越秀金控,14.0,26.9,12.7
000977.XSHE,浪潮信息,27.6,48.5,24.4
601108.XSHG,财通证券,11.2,18.3,10.2
300558.XSHE,贝达药业,102.2,160.7,88.6
603019.XSHG,中科曙光,29.9,54.0,28.1
601231.XSHG,环旭电子,19.9,28.3,16.2
601216.XSHG,君正集团,5.3,11.4,4.2
601878.XSHG,浙商证券,12.9,21.2,12.1
600352.XSHG,浙江龙盛,14.6,20.1,10.9
000785.XSHE,居然之家,7.3,12.4,6.5
300003.XSHE,乐普医疗,29.5,47.0,26.1
600183.XSHG,生益科技,23.8,36.3,21.2
002602.XSHE,世纪华通,7.4,15.0,5.8
000938.XSHE,紫光股份,20.2,37.8,18.9
688009.XSHG,中国通号,5.7,14.7,5.2
600606.XSHG,绿地控股,5.6,9.5,5.1
002049.XSHE,紫光国微,114.0,160.8,92.0
300142.XSHE,沃森生物,45.7,95.9,33.6
601788.XSHG,光大证券,16.2,31.1,14.8
603087.XSHG,甘李药业,133.9,203.9,104.0
001979.XSHE,招商蛇口,12.3,20.8,11.4
601800.XSHG,中国交建,7.1,11.9,6.5
600745.XSHG,闻泰科技,104.7,171.7,90.1
601138.XSHG,工业富联,14.2,20.7,12.3
