,code,display_name,price,high,low
0,600376.XSHG,首开股份,5.86,8.54,5.43
1,603305.XSHG,旭升股份,33.94,61.3,30.58
2,688298.XSHG,东方生物,126.8,284.2,120.27
3,688019.XSHG,安集科技,291.9,500.85,265.02
4,688277.XSHG,天智航,37.76,141.6,35.2
5,000156.XSHE,华数传媒,8.55,13.08,7.84
6,002481.XSHE,双塔食品,12.8,20.12,11.8
7,601928.XSHG,凤凰传媒,6.33,9.02,5.96
8,688027.XSHG,国盾量子,205.61,496.0,192.16
9,002850.XSHE,科达利,71.01,103.39,67.58
10,601519.XSHG,大智慧,8.41,14.25,7.6
11,601778.XSHG,晶科科技,6.12,10.52,5.65
12,600566.XSHG,济川药业,19.95,29.67,18.4
13,688023.XSHG,安恒信息,240.4,340.0,215.33
14,300623.XSHE,捷捷微电,40.09,61.13,38.09
15,600155.XSHG,华创阳安,11.42,16.34,10.61
16,300088.XSHE,长信科技,8.13,14.0,7.37
17,000553.XSHE,安道麦A,8.61,11.64,7.76
18,600535.XSHG,天士力,14.0,19.97,13.08
19,600675.XSHG,中华企业,3.48,5.14,3.15
20,600271.XSHG,航天信息,11.45,25.55,10.26
21,688088.XSHG,虹软科技,52.76,109.73,50.94
22,002465.XSHE,海格通信,9.45,15.96,8.69
23,600529.XSHG,山东药玻,37.34,76.85,35.4
24,600456.XSHG,宝钛股份,46.5,63.03,41.69
25,600498.XSHG,烽火通信,19.28,41.46,17.9
26,300168.XSHE,万达信息,19.02,30.5,17.9
27,600167.XSHG,联美控股,10.18,16.03,9.51
28,603228.XSHG,景旺电子,27.43,40.6,25.53
29,603444.XSHG,吉比特,326.42,671.6,296.34
30,300070.XSHE,碧水源,7.51,11.83,6.84
31,002065.XSHE,东华软件,7.68,17.55,6.91
32,600859.XSHG,王府井,31.01,79.19,29.47
33,600380.XSHG,健康元,12.37,22.47,11.38
34,603858.XSHG,步长制药,22.23,31.48,19.9
35,000999.XSHE,华润三九,26.11,38.91,24.43
36,002373.XSHE,千方科技,16.84,30.78,15.72
37,600895.XSHG,张江高科,17.34,24.49,16.0
38,002439.XSHE,启明星辰,28.78,47.67,27.58
39,300841.XSHE,康华生物,462.39,996.0,417.08
40,600208.XSHG,新湖中宝,3.23,5.12,2.92
41,002030.XSHE,达安基因,31.98,51.2,31.05
42,001872.XSHE,招商港口,14.75,20.96,13.6
43,002463.XSHE,沪电股份,17.09,31.25,15.88
44,603712.XSHG,七一二,39.52,58.69,35.81
45,300223.XSHE,北京君正,65.73,142.26,63.21
46,600026.XSHG,中远海能,6.52,9.7,6.02
47,300308.XSHE,中际旭创,47.81,73.36,46.66
48,000513.XSHE,丽珠集团,36.96,62.2,34.78
49,688521.XSHG,芯原股份,73.23,174.0,67.88
50,002185.XSHE,华天科技,13.04,20.8,12.52
51,600655.XSHG,豫园股份,10.29,15.25,9.82
52,000860.XSHE,顺鑫农业,54.1,79.0,51.28
53,600848.XSHG,上海临港,19.29,29.12,17.8
54,688777.XSHG,中控技术,85.1,130.6,78.11
55,600161.XSHG,天坛生物,36.01,53.49,33.08
56,000785.XSHE,居然之家,7.18,12.37,6.45
57,300832.XSHE,新产业,119.4,204.08,111.0
58,002252.XSHE,上海莱士,7.75,11.15,7.1
59,002157.XSHE,正邦科技,17.08,26.68,15.31
60,688256.XSHG,寒武纪,140.88,297.77,136.08
61,300676.XSHE,华大基因,138.48,199.4,124.78
62,601933.XSHG,永辉超市,7.39,11.05,6.78
63,002007.XSHE,华兰生物,42.4,76.0,40.3
64,000617.XSHE,中油资本,6.71,9.74,6.07
65,601360.XSHG,三六零,15.6,29.39,14.91
66,300498.XSHE,温氏股份,17.96,33.48,16.56
67,600196.XSHG,复星医药,45.8,79.19,44.56
68,600050.XSHG,中国联通,4.41,6.88,4.01
69,000063.XSHE,中兴通讯,31.98,56.4,30.16
70,601857.XSHG,中国石油,4.43,6.26,4.04
