code,display_name,price,high,low
002635.XSHE,安洁科技,15.1,32.4,14.3
600171.XSHG,上海贝岭,15.4,23.4,13.4
002302.XSHE,西部建设,8.7,12.6,7.8
600604.XSHG,市北高新,6.0,11.4,5.1
002214.XSHE,大立科技,23.0,32.6,21.0
002396.XSHE,星网锐捷,19.9,49.5,19.4
000710.XSHE,贝瑞基因,33.1,98.0,30.2
600006.XSHG,东风汽车,6.3,11.1,6.0
600037.XSHG,歌华有线,9.1,16.0,7.9
688278.XSHG,特宝生物,33.1,81.5,29.0
000555.XSHE,神州信息,14.3,21.2,12.6
000016.XSHE,深康佳A,6.2,13.5,5.7
601333.XSHG,广深铁路,2.3,3.2,2.0
000028.XSHE,国药一致,41.8,58.0,36.7
601869.XSHG,长飞光纤,23.9,43.5,21.4
603000.XSHG,人民网,16.5,25.9,16.1
688050.XSHG,爱博医疗,173.8,310.0,157.0
600764.XSHG,中国海防,27.4,48.0,25.2
601212.XSHG,白银有色,2.8,4.4,2.4
600675.XSHG,中华企业,3.4,5.1,3.1
601375.XSHG,中原证券,4.6,8.5,4.3
600498.XSHG,烽火通信,18.9,41.5,17.9
002065.XSHE,东华软件,7.5,17.6,6.9
300773.XSHE,拉卡拉,30.4,49.3,27.1
002156.XSHE,通富微电,21.3,33.9,18.1
002463.XSHE,沪电股份,16.6,31.2,15.9
001872.XSHE,招商港口,15.1,21.0,13.6
600066.XSHG,宇通客车,14.2,19.0,12.3
600026.XSHG,中远海能,6.6,9.7,6.0
002797.XSHE,第一创业,7.8,12.6,7.4
002405.XSHE,四维图新,14.5,22.6,13.5
002939.XSHE,长城证券,10.9,16.9,10.7
000728.XSHE,国元证券,7.8,11.8,7.5
600482.XSHG,中国动力,16.9,24.3,15.6
600655.XSHG,豫园股份,10.8,15.2,9.8
600183.XSHG,生益科技,23.9,36.3,21.2
688561.XSHG,奇安信,89.2,142.7,84.5
300033.XSHE,同花顺,121.9,186.2,113.0
601138.XSHG,工业富联,14.1,20.7,12.3
601816.XSHG,京沪高铁,6.0,8.2,5.1
688981.XSHG,中芯国际,57.0,95.0,49.5
