code,display_name,price
300870.XSHE,欧陆通,50.3
300758.XSHE,七彩化学,23.1
002989.XSHE,中天精装,37.5
605299.XSHG,舒华体育,13.4
688101.XSHG,三达膜,16.8
300634.XSHE,彩讯股份,15.7
603348.XSHG,文灿股份,25.0
688233.XSHG,神工股份,38.6
002053.XSHE,云南能投,7.9
603258.XSHG,电魂网络,25.3
002970.XSHE,锐明技术,42.5
002912.XSHE,中新赛克,40.3
300659.XSHE,中孚信息,36.2
002979.XSHE,雷赛智能,28.0
300735.XSHE,光弘科技,10.6
300639.XSHE,凯普生物,36.4
605007.XSHG,五洲特纸,21.5
603212.XSHG,赛伍技术,23.0
603053.XSHG,成都燃气,10.4
300166.XSHE,东方国信,9.5
603690.XSHG,至纯科技,30.9
688100.XSHG,威胜信息,23.6
300776.XSHE,帝尔激光,115.9
300770.XSHE,新媒股份,54.4
603730.XSHG,岱美股份,22.8
002643.XSHE,万润股份,15.3
300115.XSHE,长盈精密,19.4
601908.XSHG,京运通,7.9
300073.XSHE,当升科技,48.8
002127.XSHE,南极电商,9.2
600167.XSHG,联美控股,9.9
603218.XSHG,日月股份,26.8
002705.XSHE,新宝股份,34.7
601689.XSHG,拓普集团,33.1
002353.XSHE,杰瑞股份,39.2
002916.XSHE,深南电路,82.4
002624.XSHE,完美世界,22.1
002459.XSHE,晶澳科技,30.0
002938.XSHE,鹏鼎控股,30.5
601100.XSHG,恒立液压,80.1
002475.XSHE,立讯精密,36.8
