,code,display_name,price,high,low
0,300457.XSHE,赢合科技,16.78,33.1,16.53
1,688017.XSHG,绿的谐波,94.43,178.7,86.0
2,002959.XSHE,小熊电器,77.44,134.68,72.4
3,300395.XSHE,菲利华,36.81,64.76,35.89
4,688598.XSHG,金博股份,155.1,259.48,147.3
5,300118.XSHE,东方日升,16.07,31.66,13.01
6,600559.XSHG,老白干酒,20.16,36.8,18.65
7,688390.XSHG,固德威,211.27,375.82,195.28
8,603025.XSHG,大豪科技,19.48,32.95,18.35
9,601908.XSHG,京运通,8.08,14.51,7.52
10,002901.XSHE,大博医疗,49.81,84.5,47.37
11,300244.XSHE,迪安诊断,31.12,52.38,30.75
12,002389.XSHE,航天彩虹,20.85,38.76,19.82
13,688122.XSHG,西部超导,47.88,85.86,44.01
14,601375.XSHG,中原证券,4.5,8.49,4.28
15,300751.XSHE,迈为股份,399.2,677.98,380.0
16,600732.XSHG,爱旭股份,11.61,20.2,11.22
17,600095.XSHG,湘财股份,8.93,15.48,8.64
18,600316.XSHG,洪都航空,34.18,63.18,32.91
19,000547.XSHE,航天发展,17.09,31.86,16.2
20,600340.XSHG,华夏幸福,7.26,13.71,6.89
21,600779.XSHG,水井坊,63.96,107.68,61.0
22,601456.XSHG,国联证券,13.54,22.71,13.21
23,600862.XSHG,中航高科,23.26,41.9,22.34
24,300869.XSHE,康泰医学,81.49,138.5,76.6
25,688012.XSHG,中微公司,111.83,193.65,102.6
26,601865.XSHG,福莱特,27.97,46.64,25.8
27,002466.XSHE,天齐锂业,40.06,70.13,37.91
28,300999.XSHE,金龙鱼,84.78,145.62,74.82
