,code,display_name,price,high,low
0,688366.XSHG,昊海生科,109.12,204.88,84.0
1,603583.XSHG,捷昌驱动,72.26,101.0,69.02
2,688050.XSHG,爱博医疗,184.79,310.0,157.01
3,600305.XSHG,恒顺醋业,20.19,27.58,19.15
4,002216.XSHE,三全食品,24.9,40.38,23.67
5,688390.XSHG,固德威,212.39,375.82,211.98
6,600702.XSHG,ST舍得,63.56,96.36,63.56
7,002597.XSHE,金禾实业,38.01,54.35,37.66
8,300763.XSHE,锦浪科技,156.16,227.5,150.2
9,002747.XSHE,埃斯顿,28.72,40.0,28.6
10,300725.XSHE,药石科技,157.41,212.86,155.15
11,603027.XSHG,千禾味业,36.59,51.37,36.0
12,600409.XSHG,三友化工,11.54,16.0,11.52
13,002557.XSHE,洽洽食品,51.59,71.17,51.21
14,000403.XSHE,双林生物,37.02,50.31,33.0
15,600340.XSHG,华夏幸福,7.78,20.93,6.89
16,600779.XSHG,水井坊,68.11,107.68,66.98
17,603218.XSHG,日月股份,35.48,49.65,34.55
18,603317.XSHG,天味食品,55.85,82.24,55.0
19,300357.XSHE,我武生物,67.09,97.9,66.5
20,300699.XSHE,光威复材,72.25,106.6,72.07
21,688536.XSHG,思瑞浦,446.21,600.01,418.28
22,600872.XSHG,中炬高新,49.89,83.38,49.21
23,002353.XSHE,杰瑞股份,42.58,57.89,41.0
24,601689.XSHG,拓普集团,35.82,52.61,35.65
25,600161.XSHG,天坛生物,34.62,53.49,33.08
26,603939.XSHG,益丰药房,81.88,110.23,81.58
27,000799.XSHE,酒鬼酒,134.63,232.18,131.99
28,002625.XSHE,光启技术,21.96,33.4,17.7
29,002791.XSHE,坚朗五金,148.78,205.94,145.67
30,603517.XSHG,绝味食品,77.07,107.88,76.51
31,002920.XSHE,德赛西威,85.76,128.39,84.47
32,002568.XSHE,百润股份,92.49,141.94,91.1
33,603345.XSHG,安井食品,206.99,283.99,204.36
34,002459.XSHE,晶澳科技,32.01,48.1,31.74
35,300676.XSHE,华大基因,129.99,180.0,129.0
36,300595.XSHE,欧普康视,86.56,130.01,85.8
37,600132.XSHG,重庆啤酒,108.0,164.4,107.0
38,603369.XSHG,今世缘,48.23,67.98,47.05
39,603882.XSHG,金域医学,126.66,178.88,124.0
40,002821.XSHE,凯莱英,257.8,344.87,254.11
41,002466.XSHE,天齐锂业,41.22,70.13,40.73
42,600845.XSHG,宝信软件,55.38,78.02,54.63
43,300888.XSHE,稳健医疗,150.76,217.58,150.0
44,300033.XSHE,同花顺,125.07,179.78,114.07
45,601865.XSHG,福莱特,30.99,46.64,30.85
46,300142.XSHE,沃森生物,43.3,95.86,33.59
47,603899.XSHG,晨光文具,73.96,100.77,73.28
48,002007.XSHE,华兰生物,41.58,76.0,40.3
49,688363.XSHG,华熙生物,150.4,229.45,150.0
50,603087.XSHG,甘李药业,133.19,181.28,132.5
51,002410.XSHE,广联达,65.49,92.5,64.07
52,600763.XSHG,通策医疗,235.46,392.57,231.93
53,688008.XSHG,澜起科技,75.5,102.78,72.27
54,002601.XSHE,龙蟒佰利,37.65,51.68,37.57
55,300759.XSHE,康龙化成,121.41,169.66,120.0
56,002812.XSHE,恩捷股份,106.01,168.5,100.5
57,300896.XSHE,爱美客,788.0,1331.02,781.78
58,300601.XSHE,康泰生物,145.4,249.31,129.6
59,603392.XSHG,万泰生物,227.52,344.7,225.01
60,600600.XSHG,青岛啤酒,76.09,110.7,75.73
61,300454.XSHE,深信服,249.77,333.33,248.0
62,600588.XSHG,用友网络,34.61,51.82,34.43
63,603195.XSHG,公牛集团,188.07,259.9,187.0
64,600989.XSHG,宝丰能源,15.6,21.42,15.55
65,300274.XSHE,阳光电源,73.99,122.18,72.76
66,601100.XSHG,恒立液压,91.27,137.66,90.63
67,300347.XSHE,泰格医药,139.0,194.0,137.27
68,600660.XSHG,福耀玻璃,49.27,65.81,47.07
69,688036.XSHG,传音控股,176.6,261.94,172.0
70,300124.XSHE,汇川技术,83.78,117.9,82.17
71,688111.XSHG,金山办公,324.53,521.0,322.15
72,300014.XSHE,亿纬锂能,80.96,120.0,80.03
73,600436.XSHG,片仔癀,282.59,405.77,280.05
74,002607.XSHE,中公教育,32.42,43.58,31.88
75,002493.XSHE,荣盛石化,32.29,46.88,31.77
76,600346.XSHG,恒力石化,35.3,49.8,35.0
77,300059.XSHE,东方财富,30.2,40.57,29.92
78,600809.XSHG,山西汾酒,297.38,464.97,294.27
79,002304.XSHE,洋河股份,180.01,268.6,178.0
80,300015.XSHE,爱尔眼科,64.39,92.69,63.88
81,000568.XSHE,泸州老窖,214.0,327.66,212.12
82,603259.XSHG,药明康德,137.2,188.28,135.84
83,002594.XSHE,比亚迪,200.37,273.37,194.0
84,000858.XSHE,五粮液,266.75,357.19,265.17
