,code,display_name,price,high,low
0,603915.XSHG,国茂股份,34.8,47.0,34.34
1,600563.XSHG,法拉电子,91.17,117.77,90.68
2,600305.XSHG,恒顺醋业,21.49,27.58,19.15
3,300747.XSHE,锐科激光,80.12,105.39,79.11
4,000423.XSHE,东阿阿胶,37.05,48.47,32.3
5,603027.XSHG,千禾味业,40.25,51.37,39.81
6,002557.XSHE,洽洽食品,54.4,71.17,51.71
7,000403.XSHE,双林生物,39.69,50.31,33.0
8,600779.XSHG,水井坊,72.1,107.68,71.89
9,603317.XSHG,天味食品,58.61,82.24,58.01
10,688536.XSHG,思瑞浦,465.0,600.01,446.16
11,600872.XSHG,中炬高新,53.25,83.38,52.5
12,000799.XSHE,酒鬼酒,136.7,232.18,134.05
13,600161.XSHG,天坛生物,36.01,53.49,33.08
14,300558.XSHE,贝达药业,118.59,155.46,88.62
15,002791.XSHE,坚朗五金,157.82,205.94,154.68
16,300496.XSHE,中科创达,123.11,155.11,121.5
17,002568.XSHE,百润股份,100.35,141.94,99.3
18,600132.XSHG,重庆啤酒,128.62,164.4,126.55
19,300033.XSHE,同花顺,138.88,179.78,114.07
20,002812.XSHE,恩捷股份,104.07,168.5,103.39
21,600570.XSHG,恒生电子,91.5,119.77,83.49
22,600600.XSHG,青岛啤酒,81.88,110.7,81.78
23,600196.XSHG,复星医药,45.8,79.19,44.56
24,603195.XSHG,公牛集团,197.45,259.9,196.2
25,600588.XSHG,用友网络,38.0,51.82,37.44
26,300274.XSHE,阳光电源,87.32,122.18,85.0
27,600436.XSHG,片仔癀,309.2,405.77,303.0
28,002607.XSHE,中公教育,33.5,43.58,31.88
29,002493.XSHE,荣盛石化,35.15,46.88,34.82
30,300059.XSHE,东方财富,31.67,40.57,31.6
31,002475.XSHE,立讯精密,46.9,63.88,45.61
