code,display_name,price,high,low
002440.XSHE,闰土股份,9.9,17.5,8.4
300379.XSHE,东方通,41.3,60.6,32.1
000937.XSHE,冀中能源,3.6,6.0,2.8
300775.XSHE,三角防务,27.7,55.9,20.6
000818.XSHE,航锦科技,20.4,36.8,17.6
601699.XSHG,潞安环能,6.1,13.5,5.2
601228.XSHG,广州港,3.3,6.5,2.9
300482.XSHE,万孚生物,81.2,111.0,64.1
600398.XSHG,海澜之家,7.2,13.1,5.5
002405.XSHE,四维图新,14.8,22.6,13.5
002385.XSHE,大北农,8.3,12.8,7.6
600705.XSHG,中航资本,4.0,6.9,3.6
300558.XSHE,贝达药业,102.2,160.7,88.6
001965.XSHE,招商公路,7.6,13.1,6.3
002049.XSHE,紫光国微,114.0,160.8,92.0
600018.XSHG,上港集团,4.8,8.7,3.8
601857.XSHG,中国石油,4.3,8.8,4.0
