,code,display_name,price,high,low
0,600633.XSHG,浙数文化,7.77,12.8,6.84
1,688586.XSHG,江航装备,25.11,53.18,22.15
2,300166.XSHE,东方国信,9.85,20.82,8.65
3,600171.XSHG,上海贝岭,15.01,23.43,13.4
4,000537.XSHE,广宇发展,5.8,8.86,5.21
5,688177.XSHG,百奥泰,26.2,78.0,24.69
6,600635.XSHG,大众公用,3.73,5.58,3.37
7,601811.XSHG,新华文轩,8.98,13.68,8.11
8,002310.XSHE,东方园林,4.15,6.68,3.66
9,600657.XSHG,信达地产,3.97,5.93,3.66
10,002815.XSHE,崇达技术,12.87,24.88,11.58
11,600643.XSHG,爱建集团,7.11,10.38,6.45
12,300568.XSHE,星源材质,25.92,36.6,23.97
13,600729.XSHG,重庆百货,29.04,38.69,25.71
14,601330.XSHG,绿色动力,8.52,13.05,7.62
15,600007.XSHG,中国国贸,12.16,17.19,11.08
16,002396.XSHE,星网锐捷,21.3,49.55,19.43
17,000937.XSHE,冀中能源,3.53,4.5,3.07
18,002498.XSHE,汉缆股份,3.75,6.9,3.26
19,002085.XSHE,万丰奥威,5.78,8.33,5.17
20,300236.XSHE,上海新阳,43.85,84.13,39.3
21,600273.XSHG,嘉化能源,9.01,13.89,7.93
22,601827.XSHG,三峰环境,7.76,11.99,6.83
23,601200.XSHG,上海环境,11.74,14.98,10.23
24,000690.XSHE,宝新能源,6.07,7.72,5.28
25,002368.XSHE,太极股份,22.92,38.8,20.45
26,600641.XSHG,万业企业,14.12,26.37,13.65
27,300770.XSHE,新媒股份,58.72,142.5,53.88
28,600373.XSHG,中文传媒,10.09,18.05,9.08
29,600639.XSHG,浦东金桥,12.19,17.43,10.93
30,002273.XSHE,水晶光电,11.45,20.94,10.24
31,002975.XSHE,博杰股份,100.8,136.0,88.93
32,601512.XSHG,中新集团,9.43,13.69,8.78
33,002268.XSHE,卫士通,17.39,31.27,15.5
34,300188.XSHE,美亚柏科,19.05,25.94,17.1
35,603305.XSHG,旭升股份,34.83,61.3,30.58
36,300775.XSHE,三角防务,31.86,45.08,27.79
37,000046.XSHE,泛海控股,3.05,5.15,2.68
38,600959.XSHG,江苏有线,3.19,4.26,2.93
39,688001.XSHG,华兴源创,36.48,59.32,32.97
40,000156.XSHE,华数传媒,8.69,13.08,7.84
41,300017.XSHE,网宿科技,6.82,11.54,5.91
42,600116.XSHG,三峡水利,9.0,11.45,7.93
43,688526.XSHG,科前生物,39.0,51.11,34.71
44,601098.XSHG,中南传媒,10.17,12.85,8.81
45,600562.XSHG,国睿科技,14.75,23.02,13.52
46,601869.XSHG,长飞光纤,24.31,43.52,21.37
47,300024.XSHE,机器人,12.28,17.67,10.68
48,000729.XSHE,燕京啤酒,6.99,10.24,6.11
49,688520.XSHG,神州细胞,45.85,103.99,40.21
50,000401.XSHE,冀东水泥,15.29,21.49,13.4
51,600271.XSHG,航天信息,11.57,25.55,10.26
52,002151.XSHE,北斗星通,44.22,84.59,40.1
53,600498.XSHG,烽火通信,19.34,41.46,17.9
54,002465.XSHE,海格通信,9.87,15.96,8.69
55,603228.XSHG,景旺电子,29.04,40.6,25.53
56,002065.XSHE,东华软件,7.98,17.55,6.91
57,600895.XSHG,张江高科,17.19,24.49,16.0
58,002180.XSHE,纳思达,27.96,49.44,24.48
59,600598.XSHG,北大荒,16.96,22.88,15.2
60,600157.XSHG,ST永泰,1.4,1.8,1.24
61,600637.XSHG,东方明珠,9.18,12.17,8.22
62,600705.XSHG,中航资本,4.19,5.66,3.87
63,600521.XSHG,华海药业,27.7,45.7,24.29
64,600383.XSHG,金地集团,12.34,17.05,10.7
65,688009.XSHG,中国通号,5.83,7.79,5.4
66,001979.XSHE,招商蛇口,12.72,19.6,11.42
67,300498.XSHE,温氏股份,18.6,30.52,16.56
