,code,display_name,price,high,low
0,688100.XSHG,威胜信息,20.95,40.07,19.09
1,300027.XSHE,华谊兄弟,3.89,10.8,3.21
2,002440.XSHE,闰土股份,10.21,17.5,8.44
3,600682.XSHG,南京新百,9.68,41.22,7.55
4,000937.XSHE,冀中能源,3.72,6.01,2.84
5,300775.XSHE,三角防务,27.79,55.92,20.6
6,688298.XSHG,东方生物,133.29,284.2,120.27
7,601699.XSHG,潞安环能,6.14,13.46,5.18
8,601228.XSHG,广州港,3.39,6.51,2.91
9,600398.XSHG,海澜之家,7.03,13.07,5.53
10,600157.XSHG,ST永泰,1.41,4.22,1.16
11,002153.XSHE,石基信息,31.99,45.95,26.7
12,601828.XSHG,美凯龙,8.9,20.52,8.04
13,600705.XSHG,中航资本,4.12,6.9,3.62
14,600795.XSHG,国电电力,2.24,3.17,1.74
15,001965.XSHE,招商公路,7.42,13.98,6.34
16,600018.XSHG,上港集团,4.91,8.73,3.83
