,code,display_name,price,high,low
0,603927.XSHG,中科软,35.73,73.79,32.6
1,603730.XSHG,岱美股份,26.22,33.52,23.86
2,300777.XSHE,中简科技,48.41,63.75,47.16
3,603228.XSHG,景旺电子,26.69,40.6,25.53
4,300463.XSHE,迈克生物,42.1,64.21,39.62
5,600859.XSHG,王府井,32.2,79.19,29.47
6,002223.XSHE,鱼跃医疗,27.95,40.92,25.42
7,002030.XSHE,达安基因,32.75,51.2,31.05
8,603712.XSHG,七一二,38.58,58.69,35.81
9,300037.XSHE,新宙邦,78.9,112.0,73.49
10,600862.XSHG,中航高科,28.64,41.9,27.11
11,600663.XSHG,陆家嘴,10.71,14.26,9.97
12,002459.XSHE,晶澳科技,36.61,48.1,33.4
13,600196.XSHG,复星医药,47.01,79.19,44.56
14,600703.XSHG,三安光电,28.47,36.44,26.77
15,600588.XSHG,用友网络,40.63,53.97,37.31
16,300433.XSHE,蓝思科技,31.07,41.4,29.4
17,002475.XSHE,立讯精密,48.7,63.88,45.61
