,code,display_name,high,low
0,603025.XSHG,大豪科技,32.95,20.93
1,002250.XSHE,联化科技,30.08,21.0
2,600675.XSHG,中华企业,5.14,3.15
3,002461.XSHE,珠江啤酒,13.7,8.78
4,000975.XSHE,银泰黄金,14.85,7.72
5,300773.XSHE,拉卡拉,49.28,27.24
6,603005.XSHG,晶方科技,106.0,61.0
7,002212.XSHE,天融信,32.32,18.76
8,300168.XSHE,万达信息,30.5,17.9
9,600559.XSHG,老白干酒,36.8,24.24
10,300070.XSHE,碧水源,11.83,6.84
11,300418.XSHE,昆仑万维,31.13,18.5
12,600867.XSHG,通化东宝,18.45,11.09
13,603719.XSHG,良品铺子,87.24,55.5
14,600859.XSHG,王府井,79.19,29.47
15,002439.XSHE,启明星辰,47.67,27.58
16,002030.XSHE,达安基因,51.2,31.05
17,600157.XSHG,ST永泰,1.8,1.24
18,002180.XSHE,纳思达,49.44,24.48
19,000961.XSHE,中南建设,10.97,7.45
20,603712.XSHG,七一二,58.69,35.81
21,002690.XSHE,美亚光电,62.1,42.01
22,600372.XSHG,中航电子,23.43,15.5
23,600085.XSHG,同仁堂,33.75,23.25
24,300308.XSHE,中际旭创,73.36,46.66
25,600688.XSHG,上海石化,5.28,3.27
26,002602.XSHE,世纪华通,15.04,6.06
27,002252.XSHE,上海莱士,11.15,7.1
28,002916.XSHE,深南电路,198.0,99.99
29,600383.XSHG,金地集团,17.05,10.7
30,688256.XSHG,寒武纪,297.77,136.08
31,603658.XSHG,安图生物,180.99,126.11
32,601698.XSHG,中国卫通,27.28,16.68
33,601933.XSHG,永辉超市,11.05,6.78
34,603986.XSHG,兆易创新,305.46,165.02
35,601360.XSHG,三六零,29.39,14.91
36,600196.XSHG,复星医药,79.19,44.56
37,600588.XSHG,用友网络,54.35,37.31
38,000063.XSHE,中兴通讯,56.4,30.16
39,688981.XSHG,中芯国际,95.0,49.45
