,code,price,display_name,high,low
0,601016.XSHG,3.23,节能风电,4.34,3.03
1,688017.XSHG,140.31,绿的谐波,178.7,126.34
2,300024.XSHE,11.25,机器人,17.0,10.68
3,600765.XSHG,18.47,中航重机,26.0,17.21
4,000591.XSHE,5.86,太阳能,8.8,5.42
5,603025.XSHG,23.26,大豪科技,32.95,20.62
6,002683.XSHE,30.29,宏大爆破,66.39,29.0
7,603568.XSHG,18.58,伟明环保,26.45,16.45
8,300298.XSHE,41.8,三诺生物,53.69,30.56
9,002497.XSHE,21.16,雅化集团,30.5,20.06
10,600516.XSHG,6.49,方大炭素,9.15,6.15
11,002025.XSHE,56.9,航天电器,72.0,53.2
12,002019.XSHE,20.7,亿帆医药,34.36,16.73
13,600201.XSHG,23.97,生物股份,31.15,18.54
14,300383.XSHE,18.0,光环新网,31.48,15.81
15,002773.XSHE,37.07,康弘药业,52.6,35.28
16,605358.XSHG,85.0,立昂微,145.0,79.26
17,002153.XSHE,33.96,石基信息,43.18,28.06
18,300724.XSHE,118.6,捷佳伟创,158.88,111.03
19,600521.XSHG,26.75,华海药业,45.7,24.29
20,601766.XSHG,6.14,中国中车,7.8,5.86
