,股票代码,股票名称,2019年报利润(亿元）
0,000568.XSHE,泸州老窖,46.419888570299996
1,000736.XSHE,中交地产,5.4250031933
2,002007.XSHE,华兰生物,12.8344904998
3,002230.XSHE,科大讯飞,8.1917585863
4,002415.XSHE,海康威视,124.14587690450001
5,002475.XSHE,立讯精密,47.138206448999995
6,002511.XSHE,中顺洁柔,6.038326508300001
7,002714.XSHE,牧原股份,61.143636628500005
8,002821.XSHE,凯莱英,5.5386383607
9,300003.XSHE,乐普医疗,17.2530619117
10,300015.XSHE,爱尔眼科,13.789209704000001
11,300058.XSHE,蓝色光标,7.1044674652
12,300124.XSHE,汇川技术,9.5193626985
13,300207.XSHE,欣旺达,7.5096590034
14,300232.XSHE,洲明科技,5.299091612200001
15,300271.XSHE,华宇软件,5.8038985075
16,300274.XSHE,阳光电源,8.925528212
17,300285.XSHE,国瓷材料,5.7384029936
18,300296.XSHE,利亚德,7.0395405477
19,300316.XSHE,晶盛机电,6.3739508711
20,300347.XSHE,泰格医药,8.416348233799999
21,300383.XSHE,光环新网,8.2459076743
22,300450.XSHE,先导智能,7.6557208695000005
23,300628.XSHE,亿联网络,12.352946183599999
24,300699.XSHE,光威复材,5.2178939051999995
25,600057.XSHG,厦门象屿,11.0596164777
26,600079.XSHG,人福医药,8.4254488694
27,600276.XSHG,恒瑞医药,53.280275195600005
28,600325.XSHG,华发股份,27.8468890845
29,600436.XSHG,片仔癀,13.743768238
30,600466.XSHG,蓝光发展,34.5906500813
31,600606.XSHG,绿地控股,147.4301313984
32,600779.XSHG,水井坊,8.2628128731
33,600984.XSHG,建设机械,5.0546886964999995
34,601012.XSHG,隆基股份,52.7955207355
35,601799.XSHG,星宇股份,7.8991187684
36,603228.XSHG,景旺电子,8.3708659452
37,603233.XSHG,大参林,7.026619617300001
38,603338.XSHG,浙江鼎力,6.940812369400001
39,603368.XSHG,柳药股份,6.85426064
40,603658.XSHG,安图生物,7.7416395763
41,603659.XSHG,璞泰来,6.5107401002
42,603833.XSHG,欧派家居,18.3944851668
43,603866.XSHG,桃李面包,6.8335839186000005
44,603883.XSHG,老百姓,5.08711909
45,603885.XSHG,吉祥航空,9.944701158200001
46,603899.XSHG,晨光文具,10.6008362503
47,603939.XSHG,益丰药房,5.437503030299999
