,代码,名称,当前市值(亿元),目标市值(亿元),目标估值,近年平均利润(亿元),加权年数
0,000002.XSHE,万科A,3652.615,4564.468488706875,15,304.29789924712503,4
1,000006.XSHE,深振业A,71.4147,122.23588755825001,15,8.14905917055,4
2,000008.XSHE,神州高铁,66.7391,80.81544894449999,15,5.3876965963,4
3,000011.XSHE,深物业A,76.6429,89.56311033525,15,5.97087402235,4
4,000016.XSHE,深康佳A,145.6807,216.60083019375,15,14.44005534625,4
5,000028.XSHE,国药一致,166.9267,177.24095432737502,15,11.816063621825002,4
6,000031.XSHE,大悦城,172.3098,203.72651802675,15,13.581767868450001,4
7,000036.XSHE,华联控股,60.5445,167.92071015112498,15,11.194714010075,4
8,000042.XSHE,中洲控股,58.5716,79.11581323312501,15,5.2743875488750005,4
9,000046.XSHE,泛海控股,155.3664,300.979212388125,15,20.065280825875,4
10,000055.XSHE,方大集团,51.9109,166.361121512625,15,11.090741434175,4
11,000059.XSHE,华锦股份,98.2058,213.63178517925,15,14.242119011949999,4
12,000065.XSHE,北方国际,54.8665,84.5893443555,15,5.6392896237,4
13,000069.XSHE,华侨城A,751.2843,1442.2737306652502,15,96.15158204435001,4
14,000402.XSHE,金融街,199.0627,469.545671817,15,31.3030447878,4
15,000413.XSHE,东旭光电,119.1892,135.89043703687497,15,9.059362469124999,4
16,000415.XSHE,渤海租赁,141.6255,338.81025,15,22.58735,4
17,000429.XSHE,粤高速A,149.4926,204.25442343675002,15,13.616961562450001,4
18,000488.XSHE,晨鸣纸业,287.3792,374.98903936987494,15,24.999269291324996,4
19,000501.XSHE,鄂武商A,91.0487,169.04714075625,15,11.26980938375,4
20,000517.XSHE,荣安地产,99.6568,119.55111539100001,15,7.970074359400001,4
21,000537.XSHE,广宇发展,109.7025,306.059566662375,15,20.403971110825,4
22,000540.XSHE,中天金融,194.0456,284.853722769,15,18.9902481846,4
23,000541.XSHE,佛山照明,87.73899999999999,93.429330573375,15,6.228622038225,4
24,000546.XSHE,金圆股份,53.4554,57.53348289974999,15,3.8355655266499995,4
25,000552.XSHE,靖远煤电,68.6091,70.17956233275,15,4.67863748885,4
26,000581.XSHE,威孚高科,234.7828,334.0375370655,15,22.2691691377,4
27,000600.XSHE,建投能源,98.1811,100.955418429375,15,6.730361228624999,4
28,000617.XSHE,中油资本,790.1299,1027.8142345005,15,68.5209489667,4
29,000620.XSHE,新华联,43.4342,126.65734593149999,15,8.4438230621,4
30,000623.XSHE,吉林敖东,182.3649,220.07965985400003,15,14.671977323600002,4
31,000627.XSHE,天茂集团,206.0242,232.77519043725,15,15.518346029149999,4
32,000631.XSHE,顺发恒业,74.9216,103.781864531625,15,6.918790968775,4
33,000656.XSHE,金科股份,376.9839,486.06038305087503,15,32.404025536725,4
34,000666.XSHE,经纬纺机,54.3588,112.20377144174999,15,7.480251429449999,4
35,000667.XSHE,美好置业,49.0931,61.802920472625,15,4.120194698175,4
36,000671.XSHE,阳光城,254.8018,387.377206200375,15,25.825147080025,4
37,000672.XSHE,上峰水泥,174.6842,177.781334049375,15,11.852088936624998,4
38,000676.XSHE,智度股份,69.3341,81.621239466,15,5.441415964400001,4
39,000685.XSHE,中山公用,123.6143,141.091823329875,15,9.406121555325,4
40,000709.XSHE,河钢股份,265.4652,358.4374336215,15,23.8958289081,4
41,000717.XSHE,韶钢松山,121.2182,290.548173527625,15,19.369878235175,4
42,000718.XSHE,苏宁环球,129.8824,167.64405220762498,15,11.176270147175,4
43,000719.XSHE,中原传媒,75.1032,109.84043261887501,15,7.322695507925,4
44,000726.XSHE,鲁泰A,59.3828,127.89411566475002,15,8.526274377650001,4
45,000732.XSHE,泰禾集团,84.6226,256.983959732625,15,17.132263982175,4
46,000736.XSHE,中交地产,45.7595,78.20381908649999,15,5.2135879391,4
47,000761.XSHE,本钢板材,130.2125,149.00719749600003,15,9.9338131664,4
48,000778.XSHE,新兴铸管,167.2179,192.43788740512497,15,12.829192493674999,4
49,000789.XSHE,万年青,110.7576,119.9421148275,15,7.9961409885000005,4
50,000813.XSHE,德展健康,91.9008,102.236110304625,15,6.8157406869749995,4
51,000822.XSHE,山东海化,45.5602,49.188406025999996,15,3.2792270683999996,4
52,000825.XSHE,太钢不锈,280.825,482.3876153025,15,32.1591743535,4
53,000826.XSHE,启迪环境,88.8389,125.09354664150001,15,8.339569776100001,4
54,000828.XSHE,东莞控股,102.1845,144.21861904575002,15,9.61457460305,4
55,000839.XSHE,中信国安,85.0602,93.8331393255,15,6.255542621699999,4
56,000883.XSHE,湖北能源,256.3935,277.187418630375,15,18.479161242025,4
57,000885.XSHE,城发环境,61.6395,69.456548772,15,4.6304365848,4
58,000887.XSHE,中鼎股份,130.1413,140.509776982125,15,9.367318465475,4
59,000898.XSHE,鞍钢股份,363.9832,636.0,15,42.4,4
60,000900.XSHE,现代投资,68.7576,135.99338650725,15,9.06622576715,4
61,000910.XSHE,大亚圣象,77.0188,99.17687957474999,15,6.61179197165,4
62,000921.XSHE,海信家电,202.7735,235.38642213412498,15,15.692428142275,4
63,000926.XSHE,福星股份,45.1395,118.44576961875,15,7.89638464125,4
64,000932.XSHE,华菱钢铁,494.6165,533.8945528837501,15,35.59297019225001,4
65,000936.XSHE,华西股份,53.0722,63.10018498349999,15,4.2066789989,4
66,000950.XSHE,重药控股,85.8908,106.851237081375,15,7.123415805425,4
67,000968.XSHE,蓝焰控股,61.1462,79.11979073550002,15,5.2746527157,4
68,001965.XSHE,招商公路,463.3671,545.3810650867499,15,36.35873767245,4
69,001979.XSHE,招商蛇口,991.99,1990.3107736319998,15,132.6873849088,4
70,002002.XSHE,鸿达兴业,102.8575,114.88298142599999,15,7.6588654283999995,4
71,002016.XSHE,世荣兆业,51.6203,100.689070690125,15,6.712604712675001,4
72,002024.XSHE,苏宁易购,681.4949,1053.27915,15,70.21861,4
73,002029.XSHE,七匹狼,38.4636,47.9010465975,15,3.1934031065,4
74,002035.XSHE,华帝股份,65.0184,84.81963792300002,15,5.6546425282,4
75,002042.XSHE,华孚时尚,72.1703,86.64788191537498,15,5.776525461025,4
