代码,名称,当前市值(亿元),目标市值(亿元),目标估值,近年平均利润(亿元),加权年数
000002.XSHE,万科A,3799.0,6933.5,24.8,279.7,5
000006.XSHE,深振业A,72.4,160.0,21.8,7.4,5
000008.XSHE,神州高铁,65.6,127.5,27.2,4.7,5
000011.XSHE,深物业A,96.8,264.5,52.0,5.1,5
000031.XSHE,大悦城,173.2,459.4,37.3,12.3,5
000034.XSHE,神州数码,111.5,596.3,126.2,4.7,5
000055.XSHE,方大集团,51.9,334.6,36.8,9.1,5
000065.XSHE,北方国际,54.3,181.6,36.7,4.9,5
000069.XSHE,华侨城A,780.8,2665.8,30.9,86.2,5
000090.XSHE,天健集团,117.2,248.5,35.9,6.9,5
000338.XSHE,潍柴动力,1623.3,3393.7,59.7,56.8,5
000402.XSHE,金融街,198.8,461.3,15.6,29.5,5
000425.XSHE,徐工机械,552.3,2318.7,166.9,13.9,5
000429.XSHE,粤高速A,148.4,368.8,31.2,11.8,5
000501.XSHE,鄂武商A,93.8,166.6,15.7,10.6,5
000517.XSHE,荣安地产,102.5,655.6,99.6,6.6,5
000528.XSHE,柳工,134.7,638.2,145.0,4.4,5
000537.XSHE,广宇发展,110.8,1790.6,107.8,16.6,5
000544.XSHE,中原环保,66.8,151.8,47.4,3.2,5
000546.XSHE,金圆股份,52.0,77.3,21.5,3.6,5
000552.XSHE,靖远煤电,65.9,138.1,33.7,4.1,5
000560.XSHE,我爱我家,87.6,383.1,116.7,3.3,5
000620.XSHE,新华联,43.4,226.4,30.7,7.4,5
000627.XSHE,天茂集团,205.0,813.4,63.0,12.9,5
000631.XSHE,顺发恒业,76.9,129.2,20.9,6.2,5
000651.XSHE,格力电器,3759.8,4543.6,22.4,202.5,5
000656.XSHE,金科股份,383.4,1336.6,47.0,28.5,5
000671.XSHE,阳光城,266.9,770.7,32.8,23.5,5
000672.XSHE,上峰水泥,170.3,1282.5,133.5,9.6,5
000676.XSHE,智度股份,72.6,971.6,222.8,4.4,5
000690.XSHE,宝新能源,142.7,211.3,27.6,7.6,6
000703.XSHE,恒逸石化,620.7,1518.3,97.3,15.6,5
000708.XSHE,中信特钢,1393.5,1852.4,86.3,21.5,6
000709.XSHE,河钢股份,254.8,949.3,46.8,20.3,5
000726.XSHE,鲁泰A,60.9,100.4,12.2,8.2,5
000736.XSHE,中交地产,46.6,428.8,101.4,4.2,5
000789.XSHE,万年青,107.8,370.9,53.8,6.9,5
000813.XSHE,德展健康,93.5,831.6,152.2,5.5,5
000885.XSHE,城发环境,62.3,367.1,97.2,3.8,5
000900.XSHE,现代投资,67.4,157.5,18.8,8.4,5
000910.XSHE,大亚圣象,81.0,155.8,26.3,5.9,5
000921.XSHE,海信家电,205.8,485.2,35.4,13.7,5
000926.XSHE,福星股份,45.2,79.6,11.0,7.3,5
000936.XSHE,华西股份,53.0,211.3,59.7,3.5,5
000938.XSHE,紫光股份,561.1,1006.3,82.6,12.2,5
000961.XSHE,中南建设,285.1,1250.6,81.8,15.3,5
000967.XSHE,盈峰环境,264.7,496.4,82.7,6.0,5
000983.XSHE,山西焦煤,211.0,935.2,82.7,11.3,5
001979.XSHE,招商蛇口,993.6,4334.7,37.4,115.9,5
002016.XSHE,世荣兆业,51.8,483.1,87.9,5.5,5
002020.XSHE,京新药业,78.2,109.3,36.0,3.0,5
002035.XSHE,华帝股份,66.2,197.8,40.0,4.9,5
002048.XSHE,宁波华翔,114.8,388.4,57.4,6.8,5
002078.XSHE,太阳纸业,443.6,605.1,37.1,16.3,5
002080.XSHE,中材科技,417.5,489.2,50.3,9.7,6
002081.XSHE,金螳螂,242.3,281.5,14.5,19.4,5
002091.XSHE,江苏国泰,109.6,301.3,42.8,7.0,5
002092.XSHE,中泰化学,233.3,1989.2,141.6,14.0,5
002120.XSHE,韵达股份,461.5,2458.6,150.6,16.3,5
002127.XSHE,南极电商,242.3,385.6,62.2,6.2,5
002128.XSHE,露天煤业,203.7,729.8,48.0,15.2,5
002146.XSHE,荣盛发展,287.8,2400.7,41.4,58.0,5
002182.XSHE,云海金属,69.9,389.8,122.3,3.2,5
002195.XSHE,二三四五,112.8,167.2,20.3,8.3,5
002203.XSHE,海亮股份,173.9,199.8,27.1,7.4,5
002217.XSHE,合力泰,105.0,473.1,50.2,9.4,5
002221.XSHE,东华能源,197.4,257.6,31.2,8.3,5
002233.XSHE,塔牌集团,145.9,455.1,40.2,11.3,6
002244.XSHE,滨江集团,147.2,240.3,17.3,13.9,5
002303.XSHE,美盈森,55.4,97.8,28.3,3.5,5
002352.XSHE,顺丰控股,4178.3,8618.4,194.0,44.4,6
002384.XSHE,东山精密,324.0,478.6,108.0,4.4,5
002394.XSHE,联发股份,33.8,44.5,12.1,3.7,5
002440.XSHE,闰土股份,118.8,210.1,21.0,10.0,5
002449.XSHE,国星光电,52.4,92.8,29.6,3.1,5
002463.XSHE,沪电股份,287.6,1003.8,237.2,4.2,5
002468.XSHE,申通快递,145.9,3420.3,275.3,12.4,5
002543.XSHE,万和电气,60.5,94.8,21.1,4.5,5
002601.XSHE,龙蟒佰利,774.7,1749.0,110.2,15.9,5
002624.XSHE,完美世界,384.1,640.7,51.9,12.3,5
002717.XSHE,岭南股份,47.9,90.6,22.2,4.1,5
002737.XSHE,葵花药业,77.3,89.2,20.6,4.3,5
002746.XSHE,仙坛股份,58.5,500.6,141.2,3.5,5
002818.XSHE,富森美,106.5,124.7,19.5,6.4,5
002925.XSHE,盈趣科技,265.5,379.8,56.2,6.8,5
002958.XSHE,青农商行,252.2,344.3,15.4,22.3,5
300038.XSHE,ST数知,32.1,282.7,75.9,3.7,5
300058.XSHE,蓝色光标,146.2,312.6,77.0,4.1,5
300088.XSHE,长信科技,185.3,213.1,39.7,5.4,5
300136.XSHE,信维通信,263.4,349.5,47.9,7.3,5
300232.XSHE,洲明科技,86.9,145.5,48.3,3.0,5
300284.XSHE,苏交科,57.2,135.6,27.1,5.0,5
300296.XSHE,利亚德,182.8,205.3,24.6,8.4,5
300418.XSHE,昆仑万维,276.2,308.3,36.4,8.5,5
300677.XSHE,英科医疗,648.1,1880.8,147.3,12.8,6
600000.XSHG,浦发银行,3237.5,4748.6,8.7,545.6,5
600015.XSHG,华夏银行,1018.6,1742.9,8.6,202.3,5
600016.XSHG,民生银行,2298.6,4347.3,8.8,495.8,5
600019.XSHG,宝钢股份,1986.4,10495.3,83.1,126.3,5
600028.XSHG,中国石化,5375.6,9912.4,19.8,500.8,5
600031.XSHG,三一重工,3139.1,6871.2,173.9,39.5,5
600033.XSHG,福建高速,73.3,104.4,15.2,6.9,5
600048.XSHG,保利地产,1825.3,4591.3,26.3,174.5,5
600056.XSHG,中国医药,147.5,180.8,16.8,10.8,5
600057.XSHG,厦门象屿,134.6,296.5,42.0,7.1,5
600064.XSHG,南京高科,126.1,277.5,25.1,11.0,5
600068.XSHG,葛洲坝,326.0,969.2,23.2,41.7,5
600090.XSHG,*ST济堂,23.5,241.8,73.2,3.3,5
600093.XSHG,易见股份,86.5,212.7,30.8,6.9,5
600094.XSHG,大名城,100.3,138.2,17.3,8.0,5
600138.XSHG,中青旅,94.8,109.7,21.8,5.0,5
600153.XSHG,建发股份,239.7,709.5,19.5,36.3,5
600161.XSHG,天坛生物,408.8,814.3,158.3,5.1,5
600167.XSHG,联美控股,245.3,670.8,71.3,9.4,5
600170.XSHG,上海建工,268.0,642.1,24.2,26.5,5
600173.XSHG,卧龙地产,31.1,212.6,68.9,3.1,5
600188.XSHG,兖州煤业,616.9,3967.4,75.5,52.5,5
600210.XSHG,紫江企业,74.0,173.7,47.9,3.6,5
600229.XSHG,城市传媒,43.7,52.7,16.9,3.1,5
600233.XSHG,圆通速递,356.4,1697.8,132.0,12.9,5
600258.XSHG,首旅酒店,272.2,378.7,70.5,5.4,5
600260.XSHG,凯乐科技,86.6,358.7,63.6,5.6,5
600266.XSHG,城建发展,108.3,221.0,14.5,15.3,5
600273.XSHG,嘉化能源,129.8,191.5,20.3,9.4,5
600277.XSHG,亿利洁能,89.6,317.5,61.5,5.2,5
600295.XSHG,鄂尔多斯,273.9,356.5,54.2,6.6,5
600308.XSHG,华泰股份,69.5,358.0,77.2,4.6,5
600325.XSHG,华发股份,132.3,720.5,42.8,16.8,5
600326.XSHG,西藏天路,65.7,110.1,34.1,3.2,5
600340.XSHG,华夏幸福,271.2,3242.7,34.9,92.9,5
600348.XSHG,华阳股份,122.2,1214.8,104.3,11.6,5
600352.XSHG,浙江龙盛,519.9,728.6,22.5,32.4,5
600373.XSHG,中文传媒,139.2,247.8,17.3,14.3,5
600377.XSHG,宁沪高速,476.6,650.3,18.0,36.0,5
600383.XSHG,金地集团,583.7,2480.8,35.9,69.0,5
600395.XSHG,盘江股份,116.0,903.4,144.2,6.3,5
600420.XSHG,现代制药,94.1,176.1,34.2,5.2,5
600449.XSHG,宁夏建材,73.9,490.3,114.2,4.3,6
