代码,名称,当前市值(亿元),目标市值(亿元),目标估值,近年平均利润(亿元),加权年数
000002.XSHE,万科A,3485.3,7108.9,19.8,302.3,6
000006.XSHE,深振业A,72.8,145.4,17.9,7.6,6
000008.XSHE,神州高铁,63.7,106.2,23.5,4.7,5
000065.XSHE,北方国际,86.5,179.3,27.8,5.4,6
000069.XSHE,华侨城A,844.8,2555.1,23.2,93.0,6
000070.XSHE,特发信息,57.3,93.0,33.6,2.3,5
000090.XSHE,天健集团,117.3,296.7,30.8,6.9,5
000338.XSHE,潍柴动力,1536.0,3252.3,42.0,62.7,6
000544.XSHE,中原环保,66.8,148.4,35.1,3.5,6
000546.XSHE,金圆股份,51.0,80.9,18.7,3.6,5
000620.XSHE,新华联,48.7,204.4,26.4,7.4,5
000631.XSHE,顺发恒业,74.4,111.9,18.2,6.2,5
000656.XSHE,金科股份,362.6,2011.8,38.1,35.4,6
000671.XSHE,阳光城,255.7,897.2,28.2,23.5,5
000709.XSHE,河钢股份,254.8,914.3,39.9,20.3,5
000756.XSHE,新华制药,53.1,82.4,30.5,2.2,6
000789.XSHE,万年青,110.0,456.1,39.6,8.2,6
000797.XSHE,中国武夷,52.2,85.6,28.0,2.5,5
000823.XSHE,超声电子,53.9,82.1,32.1,2.1,5
000900.XSHE,现代投资,68.5,149.6,16.5,8.4,5
000906.XSHE,浙商中拓,52.5,192.1,49.2,2.5,5
000951.XSHE,中国重汽,310.6,597.5,42.5,9.3,6
000967.XSHE,盈峰环境,257.5,684.3,69.8,6.0,5
001979.XSHE,招商蛇口,975.4,2598.7,21.7,117.0,6
002001.XSHE,新和成,831.3,1364.1,48.9,20.2,6
002020.XSHE,京新药业,83.0,156.1,30.7,3.6,6
002035.XSHE,华帝股份,66.8,212.3,34.2,4.9,5
002043.XSHE,兔宝宝,83.6,127.3,37.2,2.9,5
002078.XSHE,太阳纸业,411.5,604.3,31.7,16.3,5
002080.XSHE,中材科技,388.8,646.5,42.8,9.7,6
002087.XSHE,新野纺织,30.5,64.2,24.0,2.6,5
002088.XSHE,鲁阳节能,62.9,124.7,41.4,2.3,6
002091.XSHE,江苏国泰,102.3,301.1,36.5,7.0,5
002127.XSHE,南极电商,227.3,480.8,52.7,6.2,5
002128.XSHE,露天煤业,190.4,813.7,40.8,15.2,5
002146.XSHE,荣盛发展,285.2,2634.2,35.3,58.0,5
002171.XSHE,楚江新材,98.2,191.9,50.6,3.0,5
002226.XSHE,江南化工,88.1,187.9,57.4,2.1,6
002233.XSHE,塔牌集团,145.7,500.2,34.3,11.3,6
002244.XSHE,滨江集团,141.3,230.1,15.2,13.9,5
002283.XSHE,天润工业,74.4,113.0,27.5,3.1,6
002303.XSHE,美盈森,55.7,107.5,24.4,3.5,5
002322.XSHE,理工环科,42.8,76.3,28.6,2.2,5
002440.XSHE,闰土股份,114.0,217.1,18.3,10.0,5
002449.XSHE,国星光电,52.9,92.1,25.5,3.1,5
002543.XSHE,万和电气,60.6,96.4,18.4,4.5,5
002768.XSHE,国恩股份,74.6,140.7,45.5,2.2,5
300031.XSHE,宝通科技,62.6,101.0,39.9,2.0,5
300230.XSHE,永利股份,32.6,70.1,27.9,2.4,5
300232.XSHE,洲明科技,84.0,170.7,41.1,3.0,5
300284.XSHE,苏交科,55.7,143.3,23.4,5.0,5
300388.XSHE,节能国祯,55.9,103.5,39.2,2.0,5
300732.XSHE,设研院,32.5,105.0,40.3,2.1,6
300815.XSHE,玉禾田,127.6,215.1,47.3,2.8,5
600015.XSHG,华夏银行,983.2,1688.2,8.0,202.3,5
600048.XSHG,保利地产,1699.7,5167.1,22.8,174.5,5
600057.XSHG,厦门象屿,136.4,324.5,35.8,7.1,5
600063.XSHG,皖维高新,82.8,162.5,38.2,2.4,6
600064.XSHG,南京高科,123.8,320.8,21.8,11.0,5
600093.XSHG,易见股份,91.5,208.9,26.5,6.9,5
600153.XSHG,建发股份,241.1,710.6,17.1,36.3,5
600170.XSHG,上海建工,267.1,691.4,21.0,26.5,5
600210.XSHG,紫江企业,71.9,177.6,36.9,4.0,6
600258.XSHG,首旅酒店,271.3,423.8,59.6,5.4,5
600266.XSHG,城建发展,114.0,232.9,12.9,15.3,5
600277.XSHG,亿利洁能,83.8,368.9,52.1,5.2,5
600295.XSHG,鄂尔多斯,232.0,459.4,46.0,6.6,5
600325.XSHG,华发股份,130.4,815.5,36.5,16.8,5
600326.XSHG,西藏天路,66.6,110.7,29.3,3.2,5
600340.XSHG,华夏幸福,244.2,3576.7,29.9,92.9,5
600352.XSHG,浙江龙盛,474.3,809.3,19.6,32.4,5
600373.XSHG,中文传媒,144.6,236.1,14.3,14.9,6
600382.XSHG,广东明珠,42.9,77.9,23.7,2.9,5
600383.XSHG,金地集团,543.1,2613.0,30.8,69.0,5
600461.XSHG,洪城水业,65.9,102.5,25.9,3.0,5
600466.XSHG,蓝光发展,127.5,1012.0,38.9,17.5,5
600491.XSHG,龙元建设,77.9,351.7,42.9,6.2,5
600502.XSHG,安徽建工,70.1,185.3,26.3,5.9,6
600510.XSHG,黑牡丹,71.7,185.5,28.6,5.2,5
600565.XSHG,迪马股份,74.3,427.2,30.2,10.3,6
600566.XSHG,济川药业,179.5,339.3,23.8,12.3,5
600577.XSHG,精达股份,68.6,99.9,26.6,3.3,6
600585.XSHG,海螺水泥,2720.1,9754.1,34.3,217.4,6
600606.XSHG,绿地控股,686.3,2636.9,21.4,98.5,5
600619.XSHG,海立股份,64.0,97.0,38.0,2.2,5
600622.XSHG,光大嘉宝,48.6,72.7,15.4,4.9,5
600639.XSHG,浦东金桥,136.9,215.4,23.1,7.8,5
600643.XSHG,爱建集团,114.8,244.1,21.0,9.7,6
600657.XSHG,信达地产,109.8,217.8,14.7,14.5,6
600663.XSHG,陆家嘴,441.7,651.3,18.3,31.2,6
600665.XSHG,天地源,26.7,74.7,20.4,3.1,5
600668.XSHG,尖峰集团,48.6,197.7,34.3,4.3,5
600694.XSHG,大商股份,62.8,96.0,11.2,8.2,5
600704.XSHG,物产中大,242.0,481.1,19.6,21.8,5
600713.XSHG,南京医药,45.3,66.0,20.7,2.6,6
600728.XSHG,佳都科技,114.3,178.5,36.9,2.9,5
600729.XSHG,重庆百货,126.4,207.3,23.8,7.1,6
600755.XSHG,厦门国贸,127.7,664.9,33.8,16.2,5
600757.XSHG,长江传媒,65.3,170.1,24.4,6.1,5
600820.XSHG,隧道股份,171.4,249.0,12.6,18.1,5
600846.XSHG,同济科技,65.9,161.3,35.5,3.0,5
600901.XSHG,江苏租赁,169.3,339.7,22.0,12.1,6
600919.XSHG,江苏银行,951.2,1859.7,14.0,119.3,5
600987.XSHG,航民股份,59.7,92.0,13.8,6.0,5
601009.XSHG,南京银行,986.7,1905.6,17.2,96.9,5
601019.XSHG,山东出版,124.2,204.1,14.4,12.9,5
